Source,Additional_Lng,f6,f16,f17,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,D1,D2,D3,y,Location_Available,Wind_D_Calm,Wind_D_Variable,Wind_D_Sin,Wind_D_Cos,Record_Delay_Time,is_holiday,has_sensitive_word,Address_Freq,Address_Mean
2,-0.94034684,-0.687551,-2.3627613,-2.4370027,-0.10587281,-0.6422932,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,0,0,0,1.535528,-0.5195302,-0.53148127,0,0,0.12565197,-2.42812
2,-0.11319816,-0.6633824,-0.90879214,1.1860106,0.36349687,-0.037111547,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1.6574624,0.114938535,0.61175483,0,1,0.17564283,1.2097826
2,-0.9389363,-0.687551,-0.7325535,0.16170318,1.1102214,-0.540497,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,-1.5462592,0.114938535,-0.09565301,0,0,0.39045465,-2.3817818
1,0.7603742,0.2236063,0.80953497,1.0911673,-0.9592722,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1.535528,0.74940723,-0.6888185,1,0,0.6178171,-0.9930626
2,1.1927325,-0.687551,-0.6884938,0.74973154,-0.1695602,2.3006148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0.055601574,0.114938535,-0.20582974,0,0,0.71146375,1.2019408
1,0.60342103,-0.6803004,1.2941914,-0.710855,0.53417677,-0.6422932,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,0,0.6686071,1.6466814,-0.66442513,0,0,-0.06528619,-0.5581967
2,1.1882019,-0.687551,1.2941914,0.0099539375,-0.31922266,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0.055601574,0.114938535,0.7093283,0,0,-0.08494186,0.95100176
2,1.1654686,2.0918415,1.206072,-0.084889345,0.13884872,1.0819169,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0.055601574,0.114938535,0.10152675,0,1,-1.5910699,0.79131335
2,-1.6987765,-0.687551,0.9857736,0.3324211,-0.10587281,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,-1.4243248,-0.5195302,0.036884315,0,0,-1.0857207,-0.3108222
1,-0.9936094,-0.36852512,-0.60037446,-2.4370027,-1.5993218,-0.6422932,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,1,1,0,0.055601574,0.114938535,0.64997107,0,1,-0.025607584,-0.033506062
